🐐	🐎	🦔	🐮	🐖
4623	8687	54	9394	1168
5084	11722	63	9463	1865
4806	9836	69	5635	1631
3975	10784	59	6832	1334
4048	13131	65	8537	1596
2694	11064	83	9046	2466
5085	11030	50	8770	1313
4487	8176	93	9083	1267
4324	10159	51	7773	2313
2543	9225	68	7653	2457
3930	14297	78	7734	2790
5379	14568	81	6485	1529
5726	13376	100	9831	1079
3659	11949	55	9477	2588
2561	9999	67	9511	2382
4004	14282	93	9357	1428
3270	11354	84	9936	1740
2422	10476	68	5725	1965
2958	8240	62	6980	1705
4001	13818	100	6239	1754
3039	13188	71	6071	2612
3168	14390	72	5842	1798
2813	8989	91	7243	2651
4241	9937	53	9041	2400
2582	13838	84	5972	2044
5001	14729	88	7850	1869
3241	12011	79	6305	1736
4366	10164	82	7191	1677
3668	9484	81	9387	2671
5402	13201	92	5168	1357
3145	8713	81	9199	2205
2361	11109	58	7107	1690
3721	11441	78	7303	2987
5550	14886	52	8224	1829
4075	9069	99	6921	2926
5967	8502	82	8956	1109
5835	9722	93	9204	1340
3844	13216	64	7208	2756
5203	8676	81	9128	1337
4091	11928	77	5000	2460
3319	11823	55	8343	1568
2607	9708	63	7437	2027
4185	10417	94	5040	2317
3303	14145	76	6810	2768
2683	10324	78	8079	2426
5703	13945	77	7617	1228
4241	13095	52	5444	2446
5306	13580	76	8640	1147
4947	11127	90	7383	2885
4389	13610	85	5322	2909
2344	13062	99	9903	1822
5351	13064	88	6655	2016
2063	13542	99	5083	1782
5905	12937	83	7215	1650
3842	12411	71	5527	2457
4971	10367	60	5242	2363
2640	14064	55	8559	2111
2223	12860	84	8903	1957
2003	9064	84	7147	2566
3247	11602	77	6342	2997
4197	9577	56	7825	2542
3055	8446	69	7038	1670
2835	14494	53	6695	2547
3755	11362	56	5637	2851
	13139	57	9731	1753
	12337	74	5086	2238
	14458	74	6014	2260
	14321	89	6601	1663
	13575	80	8770	2190
	12147	82	6302	2479
	14199	60	5678	2172
	9023	89	9033	2982
	10998	54	5951	2186
	14300	76	7122	2123
	12157	74	5642	1688
	13346	72	8554	2264
		97	9255	1821
		65	6296	2462
		89	5434	2729
		70	6220	1401
		95	7468	1908
		69	8186	1717
		68	8957	1004
		96	9359	2558
		69	9843	1503
		61	7475	2945
		50	8861	1346
		84	9076	2973
		64	6339	2333
		58	9142	2942
		56	8325	2328
		64	6210	1016
		78	5264	2326
		67	9949	2596
		85	6043	1082
		84		2244
		74		1596
		66		1681
		58		2982
		67		2615
				1534
				1798
				1367
				2642
				1555
				2641
				2811
				1912
				2903
				1848
				2233
				1089
				2574
				1598
				1314
				1876
